PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
40.49,118.45443537491555,7.48,21.51,23.84836627716501,176.0,Poor
41.37,118.45443537491555,7.47,19.8,23.84836627716501,179.0,Poor
44.56,118.45443537491555,7.49,22.77,23.84836627716501,175.0,Poor
65.68,118.45443537491555,7.57,30.21,23.84836627716501,177.0,Poor
33.34,118.45443537491555,7.3,32.95,23.84836627716501,175.0,Poor
39.17,118.45443537491555,7.35,26.64,23.84836627716501,174.0,Poor
34.0,118.45443537491555,7.41,17.17,23.84836627716501,179.0,Poor
36.38,118.45443537491555,7.31,13.35,23.84836627716501,177.0,Poor
38.35,118.45443537491555,7.41,18.59,23.84836627716501,180.0,Poor
38.5,118.45443537491555,12.38,16.33,23.84836627716501,274.0,Very Poor
39.61,118.45443537491555,17.31,5.38,23.84836627716501,310.0,Severe
61.79,118.45443537491555,17.24,8.06,23.84836627716501,303.0,Severe
43.22,118.45443537491555,17.17,37.87,23.84836627716501,302.0,Severe
33.41,118.45443537491555,17.12,86.83,23.84836627716501,302.0,Severe
36.9,118.45443537491555,17.08,54.01,23.84836627716501,302.0,Severe
36.36,118.45443537491555,17.11,77.3,23.84836627716501,302.0,Severe
32.64,118.45443537491555,17.01,62.31,23.84836627716501,302.0,Severe
38.23,118.45443537491555,17.07,55.94,23.84836627716501,302.0,Severe
39.86,118.45443537491555,16.98,96.83,23.84836627716501,301.0,Severe
72.74,118.45443537491555,17.04,99.03,23.84836627716501,302.0,Severe
43.2,118.45443537491555,17.05,59.99,23.84836627716501,302.0,Severe
63.2,118.45443537491555,17.03,7.57,23.84836627716501,302.0,Severe
64.73,118.45443537491555,17.01,12.13,23.84836627716501,302.0,Severe
65.28,118.45443537491555,17.04,18.2,23.84836627716501,301.0,Severe
67.86,118.45443537491555,16.97,16.53,23.84836627716501,302.0,Severe
52.4,118.45443537491555,16.97,22.55,23.84836627716501,301.0,Severe
33.33,118.45443537491555,16.95,33.58,23.84836627716501,302.0,Severe
29.52,118.45443537491555,16.94,40.65,23.84836627716501,301.0,Severe
15.53,118.45443537491555,17.0,34.18,23.84836627716501,301.0,Severe
50.24,118.45443537491555,9.46,13.61,23.84836627716501,226.0,Very Poor
61.77,118.45443537491555,8.68,18.69,23.84836627716501,276.0,Very Poor
46.93,118.45443537491555,7.14,19.03,23.84836627716501,209.0,Very Poor
43.01,118.45443537491555,6.82,20.59,23.84836627716501,179.0,Poor
42.06,118.45443537491555,8.43,28.09,23.84836627716501,197.0,Poor
44.94,118.45443537491555,7.14,59.38,23.84836627716501,229.0,Very Poor
29.58,118.45443537491555,6.61,42.9,23.84836627716501,170.0,Poor
32.15,118.45443537491555,6.5,39.02,23.84836627716501,164.0,Poor
36.33,118.45443537491555,7.68,43.35,23.84836627716501,195.0,Poor
24.46,118.45443537491555,8.45,44.55,23.84836627716501,220.0,Very Poor
59.29,118.45443537491555,9.21,7.69,23.84836627716501,217.0,Very Poor
65.32,118.45443537491555,10.61,4.74,23.84836627716501,254.0,Very Poor
47.39,118.45443537491555,9.26,7.71,23.84836627716501,241.0,Very Poor
43.88,118.45443537491555,8.69,11.53,23.84836627716501,244.0,Very Poor
28.35,118.45443537491555,9.05,15.95,23.84836627716501,243.0,Very Poor
3.59,118.45443537491555,11.26,20.38,23.84836627716501,244.0,Very Poor
3.04,118.45443537491555,16.31,30.05,23.84836627716501,327.0,Severe
19.14,118.45443537491555,10.33,29.36,23.84836627716501,390.0,Severe
69.12,118.45443537491555,8.85,28.45,23.84836627716501,231.0,Very Poor
76.41,118.45443537491555,17.96,31.49,23.84836627716501,396.0,Severe
127.94,118.45443537491555,11.14,15.17,23.84836627716501,466.0,Severe
87.18,118.45443537491555,7.83,23.17,23.84836627716501,230.0,Very Poor
99.73,118.45443537491555,20.16,20.91,23.84836627716501,309.0,Severe
92.12,118.45443537491555,18.21,29.97,23.84836627716501,397.0,Severe
118.91,118.45443537491555,5.42,24.89,23.84836627716501,355.0,Severe
91.41,118.45443537491555,5.19,6.25,23.84836627716501,227.0,Very Poor
95.9,118.45443537491555,10.38,27.34,23.84836627716501,316.0,Severe
90.71,118.45443537491555,18.12,26.02,23.84836627716501,370.0,Severe
98.79,118.45443537491555,17.72,30.19,23.84836627716501,393.0,Severe
170.52,118.45443537491555,15.49,53.98,23.84836627716501,471.0,Severe
64.66,118.45443537491555,4.79,24.76,23.84836627716501,213.0,Very Poor
78.14,118.45443537491555,10.58,35.56,23.84836627716501,297.0,Very Poor
89.64,118.45443537491555,5.42,43.04,23.84836627716501,270.0,Very Poor
51.72,118.45443537491555,1.89,66.58,23.84836627716501,188.0,Poor
54.59,118.45443537491555,2.31,42.43,23.84836627716501,114.0,Poor
46.5,118.45443537491555,1.22,61.56,23.84836627716501,143.0,Poor
191.01,118.45443537491555,39.61,27.9,23.84836627716501,354.0,Severe
192.35,118.45443537491555,9.39,33.21,23.84836627716501,381.0,Severe
127.64,118.45443537491555,6.74,47.33,23.84836627716501,355.0,Severe
27.29,118.45443537491555,9.81,39.26,23.84836627716501,272.0,Very Poor
41.43,118.45443537491555,10.45,28.05,23.84836627716501,253.0,Very Poor
30.16,118.45443537491555,10.41,23.76,23.84836627716501,256.0,Very Poor
29.42,118.45443537491555,9.39,16.42,23.84836627716501,257.0,Very Poor
20.87,118.45443537491555,9.04,14.27,23.84836627716501,213.0,Very Poor
35.08,118.45443537491555,8.36,19.44,23.84836627716501,218.0,Very Poor
40.23,118.45443537491555,8.68,15.16,23.84836627716501,214.0,Very Poor
54.25,118.45443537491555,8.11,18.46,23.84836627716501,207.0,Very Poor
49.04,118.45443537491555,7.38,15.33,23.84836627716501,169.0,Poor
36.47,118.45443537491555,0.98,34.912885247265315,23.84836627716501,72.0,Moderate
40.9,118.45443537491555,4.09,34.912885247265315,23.84836627716501,91.0,Moderate
34.19,118.45443537491555,6.02,34.912885247265315,23.84836627716501,124.0,Poor
32.92,118.45443537491555,4.92,34.912885247265315,23.84836627716501,145.0,Poor
41.39,118.45443537491555,100.77,34.912885247265315,23.84836627716501,499.0,Severe
33.48,118.45443537491555,1.94,34.912885247265315,23.84836627716501,114.0,Poor
30.8,118.45443537491555,2.57,34.912885247265315,23.84836627716501,148.0,Poor
30.47,118.45443537491555,1.64,34.912885247265315,23.84836627716501,99.0,Moderate
34.64,118.45443537491555,6.67,34.912885247265315,23.84836627716501,117.0,Poor
43.71,118.45443537491555,8.85,34.912885247265315,23.84836627716501,275.0,Very Poor
46.52,118.45443537491555,3.87,6.9,23.84836627716501,183.0,Poor
36.54,118.45443537491555,18.76,11.46,23.84836627716501,336.0,Severe
36.87,118.45443537491555,26.51,4.91,23.84836627716501,468.0,Severe
50.65,118.45443537491555,10.63,6.21,23.84836627716501,494.0,Severe
33.93,118.45443537491555,5.06,6.16,23.84836627716501,234.0,Very Poor
93.34,118.45443537491555,9.72,1.4,23.84836627716501,327.0,Severe
38.06,118.45443537491555,6.96,3.47,23.84836627716501,257.0,Very Poor
20.19,118.45443537491555,10.41,4.9,23.84836627716501,300.0,Very Poor
10.45,118.45443537491555,12.59,5.87,23.84836627716501,309.0,Severe
29.87,118.45443537491555,13.53,9.6,23.84836627716501,316.0,Severe
60.18,118.45443537491555,8.64,13.19,23.84836627716501,296.0,Very Poor
85.1,118.45443537491555,8.14,12.45,23.84836627716501,240.0,Very Poor
55.55,118.45443537491555,8.38,11.84,23.84836627716501,220.0,Very Poor
170.22,118.45443537491555,15.47,10.05,23.84836627716501,460.0,Severe
35.05,118.45443537491555,7.66,9.81,23.84836627716501,341.0,Severe
37.68,118.45443537491555,6.39,13.7,23.84836627716501,216.0,Very Poor
